School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,17.24%,5823,9523,28.19%,31.83%,10753,22.75%,7684
2021-2022,16.19%,5458,9718,28.82%,32.63%,11002,22.35%,7536
2020-2021,14.94%,4677,9366,29.91%,32.86%,10289,22.29%,6979
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,18.40%,6344,10080,29.23%,28.63%,9873,23.74%,8186
2017-2018,17.57%,6069,10291,29.80%,28.59%,9874,24.05%,8305
2016-2017,17.00%,5795,10195,29.90%,28.85%,9835,24.26%,8271
2015-2016,16.64%,5422,10191,31.27%,26.44%,8617,25.65%,8360
