School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,10.8%,21.5%,43.4%,24.3%,330,1320,653,740
2021-2022,6.4%,20.3%,53.6%,19.7%,164,1369,517,502
2020-2021,6.8%,21.1%,53.2%,19.0%,126,993,393,354
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,7.3%,23.7%,47.6%,21.5%,195,1278,636,577
2017-2018,6.8%,21.0%,51.8%,20.3%,204,1545,628,607
2016-2017,8.4%,21.8%,46.1%,23.7%,233,1271,602,653
2015-2016,10.5%,22.2%,42.6%,24.6%,307,1242,648,717
