School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,*,42.9%,35.7%,*,*,10,12,*
2021-2022,,36.8%,52.6%,*,,10,7,*
2020-2021,,54.5%,31.8%,*,,7,12,*
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
