School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,3.64%,89,508,20.77%,66.56%,1628,9.04%,221
2021-2022,3.63%,77,412,19.42%,68.10%,1445,8.86%,188
2020-2021,2.95%,57,385,19.93%,68.79%,1329,8.33%,161
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,4.21%,104,579,23.42%,62.66%,1549,9.71%,240
2017-2018,3.59%,97,616,22.79%,64.59%,1746,9.03%,244
2016-2017,2.97%,80,676,25.09%,62.73%,1690,9.21%,248
2015-2016,3.25%,86,707,26.75%,60.65%,1603,9.35%,247
