School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Proficient Students,Novice Students,Nearing Proficient Students,Advanced Students
2022-2023,17.31%,30.77%,17.31%,34.62%,54,27,48,27
2021-2022,25.00%,37.88%,12.12%,25.00%,33,16,50,33
