School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,6.90%,8,31,26.72%,43.97%,51,22.41%,26
2021-2022,9.92%,12,38,31.40%,35.54%,43,23.14%,28
2020-2021,7.34%,8,33,30.28%,40.37%,44,22.02%,24
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,11.03%,16,42,28.97%,33.79%,49,26.21%,38
2017-2018,13.01%,19,52,35.62%,23.97%,35,27.40%,40
2016-2017,20.13%,30,39,26.17%,26.85%,40,26.85%,40
2015-2016,17.88%,27,46,30.46%,21.19%,32,30.46%,46
