School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,1.3%,34.2%,56.1%,8.4%,10,430,262,64
2021-2022,0.6%,29.0%,64.0%,6.4%,5,513,232,51
2020-2021,1.1%,28.3%,63.8%,6.9%,8,474,210,51
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
