School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,19.13%,9887,12933,25.03%,25.04%,12940,30.80%,15913
2021-2022,19.31%,10106,13202,25.23%,23.80%,12455,31.66%,16569
2020-2021,19.22%,9367,12258,25.16%,23.45%,11426,32.17%,15675
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,21.67%,11456,12683,23.99%,20.71%,10947,33.62%,17771
2017-2018,21.45%,11277,12599,23.96%,20.23%,10638,34.36%,18069
2016-2017,20.69%,10594,12667,24.73%,20.00%,10243,34.58%,17708
2015-2016,20.64%,10573,12605,24.61%,20.18%,10337,34.56%,17700
