School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,2.2%,18.4%,73.2%,6.2%,17,565,142,48
2021-2022,2.0%,17.2%,77.5%,3.2%,16,625,139,26
2020-2021,2.0%,15.5%,78.3%,4.1%,15,585,116,31
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,2.0%,23.6%,67.3%,7.0%,16,535,188,56
2017-2018,2.4%,22.2%,70.7%,4.8%,19,565,177,38
2016-2017,4.0%,25.6%,63.0%,7.4%,30,475,193,56
2015-2016,3.2%,27.3%,60.0%,9.4%,26,484,220,76
