School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,27.8%,17.9%,20.2%,34.1%,1820,1323,1176,2235
2021-2022,17.9%,20.9%,30.9%,30.2%,1186,2040,1384,1998
2020-2021,18.9%,21.1%,28.6%,31.4%,1301,1976,1457,2164
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,20.4%,21.7%,24.4%,33.5%,1322,1581,1405,2173
2017-2018,21.4%,21.4%,23.6%,33.6%,1352,1492,1349,2121
2016-2017,22.2%,21.4%,22.0%,34.5%,1394,1382,1342,2166
2015-2016,25.6%,19.6%,19.9%,35.0%,1612,1250,1232,2201
