School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Proficient Students,Novice Students,Nearing Proficient Students,Advanced Students
2022-2023,16.96%,36.38%,17.92%,28.73%,4950,3088,6268,2922
2021-2022,16.64%,36.40%,17.25%,29.71%,5250,3049,6432,2940
