School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,16.9%,29.2%,38.2%,15.7%,15,34,26,14
2021-2022,21.2%,38.4%,19.2%,21.2%,21,19,38,21
2020-2021,18.9%,28.4%,33.7%,18.9%,18,32,27,18
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,22.7%,33.6%,26.4%,17.3%,25,29,37,19
2017-2018,30.7%,27.3%,26.1%,15.9%,27,23,24,14
2016-2017,30.0%,28.9%,18.9%,22.2%,27,17,26,20
2015-2016,28.3%,24.2%,20.2%,27.3%,28,20,24,27
