School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,18.5%,22.2%,40.7%,18.5%,5,11,6,5
2021-2022,*,*,77.8%,,*,14,*,
2020-2021,*,27.3%,31.8%,36.4%,*,7,6,8
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,*,44.4%,*,*,*,*,8,*
2017-2018,*,*,34.8%,43.5%,*,8,*,10
2016-2017,*,*,35.3%,*,*,6,*,*
2015-2016,*,26.3%,47.4%,*,*,9,5,*
