School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,*,31.2%,62.4%,6.1%,*,174,87,17
2021-2022,*,27.6%,67.9%,3.3%,*,165,67,8
2020-2021,*,24.3%,73.7%,*,*,179,59,*
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
