School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,25.5%,19.0%,21.6%,33.8%,1190,1006,888,1578
2021-2022,17.1%,21.8%,30.7%,30.5%,784,1409,1001,1401
2020-2021,19.2%,21.5%,27.3%,32.0%,835,1188,937,1390
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,19.5%,23.9%,23.8%,32.7%,896,1092,1097,1501
2017-2018,20.1%,21.3%,25.7%,32.9%,923,1183,978,1512
2016-2017,21.4%,21.3%,22.8%,34.5%,940,998,933,1512
2015-2016,24.9%,19.8%,20.4%,34.9%,1124,921,893,1572
