School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,7.4%,37.2%,31.4%,23.9%,374,1580,1870,1203
2021-2022,8.0%,36.5%,35.4%,20.1%,373,1648,1698,935
2020-2021,8.0%,36.2%,34.9%,20.9%,359,1558,1618,932
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
