School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Proficient Students,Novice Students,Nearing Proficient Students,Advanced Students
2022-2023,11.79%,40.00%,23.58%,24.62%,261,250,424,125
2021-2022,11.39%,37.34%,26.04%,25.23%,279,288,413,126
