School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,19.5%,19.1%,33.2%,28.3%,960,1637,941,1397
2021-2022,12.4%,19.7%,43.8%,24.1%,566,2000,900,1099
2020-2021,13.4%,20.7%,40.3%,25.6%,592,1781,913,1128
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,13.6%,20.6%,38.6%,27.3%,621,1767,944,1249
2017-2018,13.5%,21.2%,39.4%,25.9%,633,1854,999,1216
2016-2017,14.7%,21.7%,35.5%,28.0%,687,1655,1011,1307
2015-2016,16.9%,21.0%,33.4%,28.6%,795,1571,987,1346
