School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,17.2%,31.8%,30.7%,20.3%,1140,2026,2102,1341
2021-2022,13.1%,32.1%,37.3%,17.5%,872,2494,2146,1166
2020-2021,14.9%,31.8%,37.3%,16.0%,1037,2589,2208,1113
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,18.1%,31.4%,28.2%,22.3%,1185,1841,2048,1457
2017-2018,18.8%,32.8%,27.3%,21.1%,1198,1735,2084,1344
2016-2017,18.2%,34.8%,25.6%,21.4%,1146,1613,2198,1353
2015-2016,18.9%,33.9%,22.5%,24.7%,1195,1426,2146,1562
