School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,8.5%,28.3%,51.1%,12.1%,45,271,150,64
2021-2022,5.6%,24.8%,58.9%,10.7%,29,307,129,56
2020-2021,6.0%,26.2%,57.5%,10.2%,23,219,100,39
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,9.4%,28.1%,45.5%,16.9%,39,188,116,70
2017-2018,8.7%,29.1%,50.0%,12.2%,33,189,110,46
2016-2017,4.8%,32.5%,47.9%,14.8%,17,171,116,53
2015-2016,7.0%,36.9%,41.3%,14.8%,25,148,132,53
