School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,9.0%,40.4%,28.1%,22.5%,8,25,36,20
2021-2022,14.1%,47.5%,15.2%,23.2%,14,15,47,23
2020-2021,12.6%,35.8%,33.7%,17.9%,12,32,34,17
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
