School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,13.00%,4199,10078,31.21%,34.13%,11023,21.66%,6994
2021-2022,12.32%,3942,10181,31.83%,34.01%,10879,21.83%,6983
2020-2021,11.81%,3526,9756,32.68%,33.67%,10051,21.84%,6520
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,16.50%,5434,10393,31.55%,26.84%,8841,25.11%,8271
2017-2018,16.01%,5274,10513,31.92%,26.68%,8787,25.40%,8366
2016-2017,15.37%,5003,10617,32.62%,26.35%,8576,25.65%,8349
2015-2016,15.10%,4733,10544,33.64%,25.10%,7868,26.15%,8196
