School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,15.5%,21.9%,38.3%,24.3%,80,197,113,125
2021-2022,9.7%,22.0%,46.9%,21.4%,49,237,111,108
2020-2021,8.3%,22.9%,42.1%,26.7%,31,158,86,100
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,12.3%,21.4%,43.0%,23.3%,50,175,87,95
2017-2018,10.5%,19.8%,46.6%,23.1%,39,174,74,86
2016-2017,8.8%,21.2%,43.1%,26.9%,31,152,75,95
2015-2016,12.8%,23.3%,35.5%,28.4%,45,125,82,100
