School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,4.0%,35.5%,42.3%,18.1%,21,224,188,96
2021-2022,2.5%,37.9%,47.3%,12.3%,13,246,197,64
2020-2021,2.6%,39.9%,43.6%,13.9%,10,166,152,53
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
