School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,21.08%,7828,11217,30.21%,21.92%,8139,26.78%,9945
2021-2022,19.09%,7656,12340,30.78%,23.74%,9517,26.39%,10582
2020-2021,17.10%,6961,12949,31.82%,25.37%,10325,25.71%,10464
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,23.89%,8782,10862,29.55%,17.62%,6478,28.93%,10634
2017-2018,23.31%,8063,10464,30.25%,16.55%,5724,29.89%,10337
2016-2017,22.60%,7800,10531,30.52%,16.93%,5843,29.95%,10335
2015-2016,21.87%,7433,10640,31.30%,16.12%,5480,30.71%,10438
