School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,2.33%,151,1312,20.28%,70.02%,4531,7.37%,477
2021-2022,2.32%,149,1362,21.21%,69.57%,4468,6.90%,443
2020-2021,2.07%,125,1258,20.79%,70.39%,4260,6.76%,409
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,3.75%,272,1843,25.39%,59.97%,4353,10.90%,791
2017-2018,3.60%,268,1891,25.40%,60.12%,4476,10.88%,810
2016-2017,3.85%,290,1989,26.38%,58.93%,4443,10.84%,817
2015-2016,3.82%,280,2051,28.00%,56.84%,4163,11.33%,830
