School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,4.1%,40.8%,38.6%,16.4%,15,141,149,60
2021-2022,3.4%,38.7%,41.8%,16.1%,11,135,125,52
2020-2021,7.3%,39.1%,31.3%,22.3%,17,73,91,52
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
