School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,*,39.3%,39.3%,*,*,11,11,*
2021-2022,,26.3%,68.4%,*,,13,5,*
2020-2021,*,36.4%,40.9%,*,*,9,8,*
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,*,55.6%,27.8%,*,*,5,10,*
2017-2018,,39.1%,43.5%,*,,10,9,*
2016-2017,*,47.1%,*,*,*,*,8,*
2015-2016,*,*,52.6%,*,*,10,*,*
