School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,12.21%,1360,3072,27.58%,26.97%,3004,33.23%,3701
2021-2022,12.25%,1412,3119,27.07%,27.30%,3146,33.37%,3845
2020-2021,12.55%,1289,2826,27.51%,24.56%,2523,35.38%,3635
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,12.95%,1380,2851,26.75%,25.41%,2708,34.90%,3720
2017-2018,12.35%,1326,2843,26.48%,24.50%,2631,36.67%,3937
2016-2017,12.39%,1311,2931,27.70%,24.27%,2568,35.65%,3772
2015-2016,13.71%,1432,2789,26.70%,22.24%,2323,37.35%,3901
