School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Proficient Students,Novice Students,Nearing Proficient Students,Advanced Students
2022-2023,14.78%,36.62%,22.13%,26.48%,5829,4871,8062,3253
2021-2022,14.49%,36.89%,21.46%,27.15%,6111,4829,8302,3262
