School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,6.3%,40.2%,29.7%,23.7%,617,2886,3908,2308
2021-2022,6.5%,39.7%,34.3%,19.5%,601,3185,3685,1809
2020-2021,7.0%,39.3%,32.4%,21.3%,618,2864,3469,1883
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
