School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,15.33%,1687,3324,30.21%,36.34%,3998,18.11%,1993
2021-2022,15.54%,1739,3338,29.83%,36.46%,4080,18.17%,2033
2020-2021,14.52%,1457,3031,30.21%,37.85%,3797,17.41%,1747
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,19.96%,2349,3505,29.79%,29.88%,3516,20.37%,2397
2017-2018,19.46%,2228,3493,30.50%,29.72%,3403,20.33%,2328
2016-2017,19.01%,2157,3461,30.50%,29.49%,3346,21.00%,2383
2015-2016,17.19%,1815,3461,32.78%,30.03%,3170,20.00%,2111
