School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,14.39%,81,187,33.21%,27.71%,156,24.69%,139
2021-2022,15.83%,82,175,33.78%,22.01%,114,28.38%,147
2020-2021,14.25%,66,155,33.48%,22.89%,106,29.37%,136
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,20.31%,105,157,30.37%,17.21%,89,32.11%,166
2017-2018,20.80%,109,154,29.39%,17.75%,93,32.06%,168
2016-2017,21.76%,111,171,33.53%,18.04%,92,26.67%,136
2015-2016,15.52%,81,182,34.87%,19.54%,102,30.08%,157
