School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,16.74%,11096,16509,24.91%,30.06%,19927,28.29%,18755
2021-2022,16.99%,11340,16733,25.07%,28.78%,19210,29.15%,19454
2020-2021,16.87%,10450,15615,25.22%,28.34%,17549,29.57%,18312
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,18.98%,12811,16377,24.26%,25.64%,17311,31.12%,21006
2017-2018,18.79%,12603,16336,24.36%,25.13%,16858,31.72%,21277
2016-2017,18.23%,11825,16211,24.99%,24.74%,16053,32.05%,20791
2015-2016,18.12%,11778,16145,24.84%,25.01%,16255,32.03%,20815
