School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,14.87%,76,169,33.07%,27.20%,139,24.85%,127
2021-2022,17.14%,79,154,33.41%,20.82%,96,28.63%,132
2020-2021,14.91%,61,135,33.01%,22.00%,90,30.07%,123
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,21.09%,97,136,29.57%,16.30%,75,33.04%,152
2017-2018,20.09%,93,135,29.16%,17.49%,81,33.26%,154
2016-2017,22.22%,100,148,32.89%,17.56%,79,27.33%,123
2015-2016,15.50%,71,158,34.50%,19.21%,88,30.79%,141
