School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,22.10%,124,147,26.20%,19.61%,110,32.09%,180
2021-2022,19.46%,101,127,24.47%,16.18%,84,39.88%,207
2020-2021,20.26%,94,109,23.49%,16.81%,78,39.44%,183
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,27.03%,140,90,17.37%,12.74%,66,42.86%,222
2017-2018,25.67%,134,125,23.95%,12.45%,65,37.93%,198
2016-2017,27.77%,138,109,21.93%,12.68%,63,37.63%,187
2015-2016,23.18%,121,113,21.65%,18.97%,99,36.21%,189
