School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,11.27%,430,985,25.82%,38.03%,1451,24.88%,949
2021-2022,10.92%,388,983,27.66%,36.16%,1285,25.27%,898
2020-2021,11.07%,362,890,27.23%,35.79%,1170,25.91%,847
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,12.05%,410,911,26.78%,34.77%,1183,26.40%,898
2017-2018,11.45%,376,899,27.38%,33.34%,1095,27.83%,914
2016-2017,11.84%,355,841,28.05%,31.52%,945,28.59%,857
2015-2016,11.94%,356,821,27.54%,31.30%,933,29.22%,871
