School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,3.07%,202,1504,22.85%,63.08%,4152,11.00%,724
2021-2022,3.36%,222,1463,22.16%,62.07%,4098,12.41%,819
2020-2021,3.22%,201,1462,23.45%,60.69%,3784,12.64%,788
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,4.50%,328,1789,24.52%,54.72%,3992,16.26%,1186
2017-2018,4.65%,344,1885,25.50%,54.34%,4016,15.51%,1146
2016-2017,4.28%,305,1755,24.66%,54.41%,3873,16.65%,1185
2015-2016,4.38%,327,1904,25.49%,53.87%,4025,16.26%,1215
