School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,4.9%,17.3%,72.9%,4.9%,14,207,49,14
2021-2022,2.0%,14.2%,80.9%,2.8%,5,199,35,7
2020-2021,*,11.0%,85.3%,2.9%,*,209,27,7
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,*,17.3%,74.5%,6.9%,*,172,40,16
2017-2018,*,15.0%,82.5%,1.8%,*,226,41,5
2016-2017,*,18.0%,77.6%,2.6%,*,177,41,6
2015-2016,*,19.6%,72.5%,6.3%,*,174,47,15
