School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,17.40%,8974,15850,30.73%,27.28%,14066,24.59%,12680
2021-2022,16.39%,8454,16247,31.49%,27.65%,14264,24.48%,12630
2020-2021,15.30%,7383,15665,32.47%,27.67%,13349,24.55%,11843
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,20.08%,10602,16186,30.66%,22.48%,11869,26.78%,14141
2017-2018,19.25%,10178,16612,31.41%,22.20%,11737,27.14%,14354
2016-2017,18.55%,9712,16583,31.67%,22.39%,11726,27.40%,14346
2015-2016,18.23%,9187,16569,32.88%,20.49%,10328,28.40%,14316
