School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,11.4%,21.4%,45.7%,21.4%,8,32,15,15
2021-2022,*,26.3%,50.9%,19.3%,*,29,15,11
2020-2021,*,24.7%,45.9%,24.7%,*,39,21,21
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,*,23.4%,45.5%,26.0%,*,35,18,20
2017-2018,*,23.2%,50.5%,22.2%,*,50,23,22
2016-2017,8.3%,19.0%,44.0%,28.6%,7,37,16,24
2015-2016,8.8%,19.6%,40.2%,31.4%,9,41,20,32
