School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Proficient Students,Novice Students,Nearing Proficient Students,Advanced Students
2022-2023,1.97%,35.59%,51.25%,11.19%,238,1090,757,42
2021-2022,2.55%,37.78%,49.09%,10.57%,232,1077,829,56
