School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,9.98%,41,119,28.95%,38.69%,159,22.38%,92
2021-2022,10.44%,47,127,28.22%,36.67%,165,24.67%,111
2020-2021,8.67%,36,125,30.12%,36.87%,153,24.34%,101
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,9.47%,46,125,25.72%,37.65%,183,27.16%,132
2017-2018,10.26%,56,141,25.82%,35.90%,196,28.02%,153
2016-2017,10.49%,60,187,32.69%,31.64%,181,25.17%,144
2015-2016,9.88%,58,146,24.87%,34.75%,204,30.49%,179
