School Year,Advanced Percent,Advanced Students,Nearing Proficiency Students,Nearing Proficient Percent,Novice Percent,Novice Students,Proficient Percent,Proficient Students
2022-2023,18.57%,6013,8096,25.00%,26.66%,8635,29.78%,9644
2021-2022,18.89%,6143,8226,25.30%,25.16%,8181,30.65%,9964
2020-2021,19.07%,5764,7578,25.07%,24.60%,7436,31.25%,9446
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,22.36%,7370,7653,23.22%,20.68%,6818,33.74%,11121
2017-2018,22.67%,7427,7511,22.93%,20.19%,6615,34.20%,11204
2016-2017,21.98%,7007,7496,23.52%,19.81%,6314,34.70%,11060
2015-2016,22.27%,7070,7423,23.38%,20.01%,6353,34.34%,10901
