School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Students With Advanced Scores,Students With Novice Scores,Students With Nearing Proficient Scores,Students With Proficient Scores
2022-2023,*,31.0%,62.0%,*,*,44,22,*
2021-2022,*,34.5%,56.9%,*,*,33,20,*
2020-2021,*,26.7%,64.0%,5.8%,*,55,23,5
2019-2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018-2019,*,22.8%,63.3%,11.4%,*,50,18,9
2017-2018,*,27.7%,62.4%,5.9%,*,63,28,6
2016-2017,8.3%,36.9%,42.9%,11.9%,7,36,31,10
2015-2016,*,30.5%,49.5%,16.2%,*,52,32,17
