School Year,Percent At Or Above Proficient,Statewide Percent At Or Above Proficient
2015-2016,41.8%,41.8%
2016-2017,41.1%,41.1%
2017-2018,41.5%,41.5%
2018-2019,41.9%,41.9%
2019-2020,N/A,N/A
2020-2021,35.5%,35.5%
2021-2022,36.4%,36.4%
2022-2023,37.4%,37.4%
