School Year,Percent At Or Above Proficient,Statewide Percent At Or Above Proficient
2015-2016,44.4%,44.4%
2016-2017,44.6%,44.6%
2017-2018,44.5%,44.5%
2018-2019,45.4%,45.4%
2019-2020,N/A,N/A
2020-2021,39.8%,39.8%
2021-2022,41.7%,41.7%
2022-2023,44.8%,44.8%
