School Year,Percent At Or Above Proficient,Statewide Percent At Or Above Proficient
2015-2016,48.0%,48.0%
2016-2017,49.1%,49.1%
2017-2018,49.6%,49.6%
2018-2019,48.4%,48.4%
2019-2020,N/A,N/A
2020-2021,43.6%,43.6%
2021-2022,44.1%,44.1%
2022-2023,43.2%,43.2%
