School Year,Percent Assessed,Students Not Tested,Students Tested,Percent Not Assessed
2015-2016,97.7%,249,10757,2.3%
2016-2017,98.5%,170,10877,1.5%
2017-2018,98.3%,198,11457,1.7%
2018-2019,98.4%,181,11399,1.6%
2019-2020,N/A,N/A,N/A,N/A
2020-2021,92.4%,860,10456,7.6%
2021-2022,98.2%,196,10848,1.8%
2022-2023,98.7%,150,11124,1.3%
