School Year,Percent At Or Above Proficient,Statewide Percent At Or Above Proficient
2015-2016,49.0%,49.0%
2016-2017,53.8%,53.8%
2017-2018,53.2%,53.2%
2018-2019,53.6%,53.6%
2019-2020,N/A,N/A
2020-2021,47.4%,47.4%
2021-2022,47.6%,47.6%
2022-2023,45.1%,45.1%
