School Year,Percent Assessed,Students Not Tested,Students Tested,Percent Not Assessed
2015-2016,97.1%,313,10445,2.9%
2016-2017,97.3%,290,10582,2.7%
2017-2018,97.4%,291,10737,2.6%
2018-2019,97.3%,293,10659,2.7%
2019-2020,N/A,N/A,N/A,N/A
2020-2021,89.4%,1222,10273,10.6%
2021-2022,97.0%,354,11522,3.0%
2022-2023,97.6%,277,11137,2.4%
