School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Proficient Students,Novice Students,Nearing Proficient Students,Advanced Students
2022-2023,12.76%,36.88%,21.70%,28.66%,3146,2382,4048,1400
2021-2022,13.54%,36.87%,19.67%,29.92%,3332,2191,4107,1508
