School Year,Percent Assessed,Students Not Tested,Students Tested,Percent Not Assessed
2015-2016,95.7%,475,10531,4.3%
2016-2017,98.2%,204,10843,1.8%
2017-2018,98.4%,191,11464,1.6%
2018-2019,98.4%,184,11396,1.6%
2019-2020,N/A,N/A,N/A,N/A
2020-2021,90.7%,1058,10258,9.3%
2021-2022,95.6%,482,10562,4.4%
2022-2023,98.4%,184,11090,1.6%
