School Year,Percent At Or Above Proficient,Statewide Percent At Or Above Proficient
2015-2016,50.0%,50.0%
2016-2017,47.6%,47.6%
2017-2018,48.8%,48.8%
2018-2019,48.6%,48.6%
2019-2020,N/A,N/A
2020-2021,43.7%,43.7%
2021-2022,44.8%,44.8%
2022-2023,45.3%,45.3%
