School Year,Advanced Percent,Nearing Proficient Percent,Novice Percent,Proficient Percent,Proficient Students,Novice Students,Nearing Proficient Students,Advanced Students
2022-2023,16.79%,36.36%,22.55%,24.30%,2683,2489,4014,1853
2021-2022,15.43%,36.90%,23.21%,24.45%,2779,2638,4195,1754
