School Year,Percent At Or Above Proficient,Statewide Percent At Or Above Proficient
2015-2016,52.3%,52.3%
2016-2017,52.8%,52.8%
2017-2018,51.3%,51.3%
2018-2019,52.0%,52.0%
2019-2020,N/A,N/A
2020-2021,47.5%,47.5%
2021-2022,47.9%,47.9%
2022-2023,44.7%,44.7%
