School Year,Percent At Or Above Proficient,Statewide Percent At Or Above Proficient
2015-2016,50.1%,50.1%
2016-2017,50.3%,50.3%
2017-2018,50.5%,50.5%
2018-2019,50.1%,50.1%
2019-2020,N/A,N/A
2020-2021,46.4%,46.4%
2021-2022,46.1%,46.1%
2022-2023,45.0%,45.0%
